"Story","Title","Result","Date","Stability","Duration (s)"
"Monitoring new customers","Monitoring a new low risk customer","PENDING","2018-11-04T14:04:04.258-05:00[America/Bogota]","0.0","0.01"
"Monitoring suspicious cash transactions","Large cash transactions","SUCCESS","2018-11-04T14:04:04.265-05:00[America/Bogota]","0.0","0.07"
"Monitoring suspicious cash transactions","Many small cash transactions","SUCCESS","2018-11-04T14:04:04.34-05:00[America/Bogota]","0.0","0.01"
"Monitoring suspicious cash transactions","Many small cash transactions that are in the customer's normal usage patterns","SUCCESS","2018-11-04T14:04:04.346-05:00[America/Bogota]","0.0","0.01"
