"Story","Title","Result","Date","Stability","Duration (s)"
"Business Activities","An example of a high risk business","PENDING","2018-11-04T14:04:03.087-05:00[America/Bogota]","0.0","0.0"
"Business Activities","A few more examples of a high risk businesses","PENDING","2018-11-04T14:04:03.094-05:00[America/Bogota]","0.0","0.01"
