"Story","Title","Result","Date","Stability","Duration (s)"
"Business Activities","The business activity risk factor for an established business","SUCCESS","2018-11-04T14:04:03.226-05:00[America/Bogota]","0.0","0.02"
"Business Activities","Businesses established less than 2 years ago are considered higher risk","SUCCESS","2018-11-04T14:04:03.353-05:00[America/Bogota]","0.0","0.01"
